GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
20150614.export.CSV:440840842	20150614	201506	2015	2015.4493	NZL	OTAGO	NZL								MIL	COMBAT TROOPS						MIL			1	190	190	19	4	-10.0	10	1	10	0	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	-45.25	169.5	11483306	20150614	http://www.3news.co.nz/nznews/aussie-term-digger-actually-from-nz-2015061416
20150614.export.CSV:440890715	20150614	201506	2015	2015.4493											NZLMIL	WELLINGTON	NZL					MIL			0	139	139	13	3	-7.0	6	1	6	-5.0314465408805	0							4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20150614	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldiers-5879288
20150614.export.CSV:440891536	20150614	201506	2015	2015.4493	NZLMIL	NEW ZEALAND	NZL					MIL			NZL	WELLINGTON	NZL								0	139	139	13	3	-7.0	1	1	1	-5.0314465408805	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20150614	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldiers-5879288
20150614.export.CSV:440891537	20150614	201506	2015	2015.4493	NZLMIL	NEW ZEALAND	NZL					MIL			NZL	WELLINGTON	NZL								0	139	139	13	3	-7.0	1	1	1	-5.0314465408805	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	20150614	http://www.mirror.co.uk/news/world-news/battle-waterloo-200th-anniversary-soldiers-5879288
20150614.export.CSV:440918674	20150614	201506	2015	2015.4493	MIL	CAPTAIN						MIL			NZL	NEW ZEALAND	NZL								1	013	013	01	1	0.4	2	1	2	1.02389078498294	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	20150614	http://www.ibtimes.co.uk/kane-williamson-ross-taylor-centuries-help-new-zealand-dominate-england-1506081
20150614.export.CSV:440918738	20150614	201506	2015	2015.4493	NZLMIL	NEW ZEALAND	NZL					MIL													1	013	013	01	1	0.4	2	1	2	1.02389078498294	1	New Zealand	NZ	NZ	-41	174	NZ	0							1	New Zealand	NZ	NZ	-41	174	NZ	20150614	http://www.ibtimes.co.uk/kane-williamson-ross-taylor-centuries-help-new-zealand-dominate-england-1506081
20150614.export.CSV:440939647	20150614	201506	2015	2015.4493	MIL	NAVY						MIL			NZL	WELLINGTON	NZL								0	043	043	04	1	2.8	5	1	5	-0.11111111111111	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20150614	http://www.hurriyetdailynews.com/culinary-myths-and-battlefields.aspx?pageID=238&nID=83966&NewsCatID=473
20150614.export.CSV:440939689	20150614	201506	2015	2015.4493	NZL	WELLINGTON	NZL								MIL	NAVY						MIL			0	042	042	04	1	1.9	5	1	5	-0.11111111111111	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20150614	http://www.hurriyetdailynews.com/culinary-myths-and-battlefields.aspx?pageID=238&nID=83966&NewsCatID=473
20150614.export.CSV:440950998	20150614	201506	2015	2015.4493	NZLGOVMIL	NEW ZEALAND	NZL					GOV	MIL												1	010	010	01	1	0.0	4	1	4	0.275957226629879	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	0							4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20150614	http://www.scoop.co.nz/stories/PA1506/S00234/nz-symposium-on-disaster-risk-reduction-opening-address.htm
20150615.export.CSV:440964256	20150615	201506	2015	2015.4521	NZLMIL	NEW ZEALAND	NZL					MIL			TUR	TURKEY	TUR								1	042	042	04	1	1.9	6	1	6	-5.0531914893617	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	1	Turkey	TU	TU	39	35	TU	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	20150615	http://www.irishtimes.com/opinion/an-irishman-s-diary-on-the-anti-conscription-archbishop-of-melbourne-and-the-pro-conscription-prime-minister-1.2247899
